date,water_temp,cloudiness_0,precipitation_0,temp_0,wind_dir_0,wind_speed_0,wind_dir_x_0,wind_dir_y_0,pressure_0,cloudiness_3,precipitation_3,temp_3,wind_dir_3,wind_speed_3,wind_dir_x_3,wind_dir_y_3,pressure_3,cloudiness_6,precipitation_6,temp_6,wind_dir_6,wind_speed_6,wind_dir_x_6,wind_dir_y_6,pressure_6,cloudiness_9,precipitation_9,temp_9,wind_dir_9,wind_speed_9,wind_dir_x_9,wind_dir_y_9,pressure_9,cloudiness_12,precipitation_12,temp_12,wind_dir_12,wind_speed_12,wind_dir_x_12,wind_dir_y_12,pressure_12,cloudiness_15,precipitation_15,temp_15,wind_dir_15,wind_speed_15,wind_dir_x_15,wind_dir_y_15,pressure_15,cloudiness_18,precipitation_18,temp_18,wind_dir_18,wind_speed_18,wind_dir_x_18,wind_dir_y_18,pressure_18,cloudiness_21,precipitation_21,temp_21,wind_dir_21,wind_speed_21,wind_dir_x_21,wind_dir_y_21,pressure_21,cloudiness_24,precipitation_24,temp_24,wind_dir_24,wind_speed_24,wind_dir_x_24,wind_dir_y_24,pressure_24
2011-01-01,0.3,пасмурно,без осадков,-1.0,З,3.0,-5.51091059616309e-16,-3.0,754.0,пасмурно,слабый снег,-1.0,З,2.0,-3.6739403974420594e-16,-2.0,755.0,пасмурно,без осадков,-1.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,755.0,пасмурно,слабые осадки,-1.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,754.0,пасмурно,без осадков,-2.0,ЮЮВ,1.0,-0.9238795325112867,0.3826834323650899,754.0,малооблачно,слабые осадки,-2.0,ЮЮВ,2.0,-1.8477590650225735,0.7653668647301798,754.0,малооблачно,слабые осадки,-3.0,ЮВ,2.0,-1.414213562373095,1.4142135623730951,755.0,малооблачно,слабый снег,-4.0,ЮВ,2.0,-1.414213562373095,1.4142135623730951,755.0,малооблачно,слабые осадки,-3.0,ЮВ,2.0,-1.414213562373095,1.4142135623730951,754.0
2011-01-02,0.3,малооблачно,слабые осадки,-3.0,ЮВ,2.0,-1.414213562373095,1.4142135623730951,754.0,малооблачно,слабый снег,-3.0,ВЮВ,2.0,-0.7653668647301795,1.8477590650225735,754.0,ясно,без осадков,-4.0,ВЮВ,2.0,-0.7653668647301795,1.8477590650225735,754.0,ясно,без осадков,-4.0,ЮВ,1.0,-0.7071067811865475,0.7071067811865476,754.0,пасмурно,без осадков,-4.0,ЮВ,2.0,-1.414213562373095,1.4142135623730951,754.0,пасмурно,слабый снег,-4.0,ЮВ,1.0,-0.7071067811865475,0.7071067811865476,754.0,пасмурно,слабый снег,-4.0,ЮВ,1.0,-0.7071067811865475,0.7071067811865476,754.0,пасмурно,слабый снег,-5.0,ЮЮВ,1.0,-0.9238795325112867,0.3826834323650899,754.0,пасмурно,без осадков,-4.0,ЮВ,1.0,-0.7071067811865475,0.7071067811865476,754.0
2011-01-03,0.2,пасмурно,без осадков,-4.0,ЮВ,1.0,-0.7071067811865475,0.7071067811865476,754.0,пасмурно,без осадков,-4.0,ЮЮВ,2.0,-1.8477590650225735,0.7653668647301798,754.0,пасмурно,слабый снег,-4.0,ЮЮВ,2.0,-1.8477590650225735,0.7653668647301798,753.0,пасмурно,снег,-4.0,ЮЮВ,2.0,-1.8477590650225735,0.7653668647301798,753.0,пасмурно,слабый снег,-5.0,Ю,2.0,-2.0,2.4492935982947064e-16,753.0,пасмурно,слабый снег,-4.0,Ю,1.0,-1.0,1.2246467991473532e-16,753.0,пасмурно,без осадков,-5.0,Ю,1.0,-1.0,1.2246467991473532e-16,753.0,облачно,слабый снег,-5.0,Ю,2.0,-2.0,2.4492935982947064e-16,753.0,ясно,без осадков,-5.0,ЮЮЗ,2.0,-1.8477590650225737,-0.7653668647301793,753.0
2011-01-04,2.3,ясно,без осадков,-5.0,ЮЮЗ,2.0,-1.8477590650225737,-0.7653668647301793,753.0,ясно,без осадков,-5.0,Ю,2.0,-2.0,2.4492935982947064e-16,753.0,пасмурно,без осадков,-5.0,Ю,2.0,-2.0,2.4492935982947064e-16,753.0,пасмурно,слабый снег,-5.0,Ю,2.0,-2.0,2.4492935982947064e-16,753.0,пасмурно,без осадков,-5.0,Ю,2.0,-2.0,2.4492935982947064e-16,753.0,пасмурно,без осадков,-4.0,Ю,2.0,-2.0,2.4492935982947064e-16,752.0,ясно,без осадков,-5.0,ЮЮВ,2.0,-1.8477590650225735,0.7653668647301798,753.0,облачно,без осадков,-5.0,ЮЮВ,2.0,-1.8477590650225735,0.7653668647301798,752.0,пасмурно,без осадков,-5.0,Ю,2.0,-2.0,2.4492935982947064e-16,753.0
2011-01-05,2.1,пасмурно,без осадков,-5.0,Ю,2.0,-2.0,2.4492935982947064e-16,753.0,пасмурно,без осадков,-6.0,ЮЮЗ,1.0,-0.9238795325112868,-0.38268343236508967,753.0,облачно,без осадков,-7.0,ЮЮЗ,1.0,-0.9238795325112868,-0.38268343236508967,753.0,малооблачно,слабый снег,-6.0,Ю,1.0,-1.0,1.2246467991473532e-16,753.0,ясно,без осадков,-6.0,ЮЮЗ,1.0,-0.9238795325112868,-0.38268343236508967,754.0,ясно,без осадков,-5.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,753.0,ясно,без осадков,-5.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,754.0,ясно,без осадков,-5.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,754.0,ясно,без осадков,-5.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,755.0
2011-01-06,2.1,ясно,без осадков,-5.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,755.0,ясно,без осадков,-5.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,755.0,ясно,без осадков,-5.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,755.0,малооблачно,слабый снег,-5.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,755.0,малооблачно,слабый снег,-5.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,755.0,малооблачно,слабый снег,-4.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,756.0,малооблачно,слабый снег,-5.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,756.0,малооблачно,слабый снег,-6.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,756.0,облачно,слабый снег,-6.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,756.0
2011-01-07,2.4,облачно,слабый снег,-6.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,756.0,пасмурно,слабый снег,-6.0,ЮЗ,1.0,-0.7071067811865477,-0.7071067811865475,757.0,облачно,слабый снег,-6.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,757.0,малооблачно,слабый снег,-6.0,ЗСЗ,1.0,0.38268343236509,-0.9238795325112866,757.0,малооблачно,слабый снег,-6.0,ЗСЗ,1.0,0.38268343236509,-0.9238795325112866,757.0,облачно,без осадков,-5.0,ЗСЗ,1.0,0.38268343236509,-0.9238795325112866,757.0,пасмурно,без осадков,-6.0,З,1.0,-1.8369701987210297e-16,-1.0,758.0,пасмурно,без осадков,-7.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,758.0,пасмурно,без осадков,-7.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,758.0
2011-01-08,2.6,пасмурно,без осадков,-7.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,758.0,пасмурно,без осадков,-7.0,З,2.0,-3.6739403974420594e-16,-2.0,758.0,пасмурно,без осадков,-7.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,758.0,пасмурно,слабый снег,-6.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,758.0,пасмурно,слабый снег,-6.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,758.0,пасмурно,слабый снег,-5.0,ЗЮЗ,2.0,-0.7653668647301807,-1.847759065022573,758.0,пасмурно,слабый снег,-7.0,З,1.0,-1.8369701987210297e-16,-1.0,759.0,пасмурно,слабый снег,-8.0,З,1.0,-1.8369701987210297e-16,-1.0,759.0,пасмурно,слабый снег,-8.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,759.0
2011-01-09,2.5,пасмурно,слабый снег,-8.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,759.0,пасмурно,без осадков,-8.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,760.0,пасмурно,без осадков,-8.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,759.0,пасмурно,без осадков,-9.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,759.0,пасмурно,без осадков,-7.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,758.0,пасмурно,слабый снег,-6.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,757.0,пасмурно,слабый снег,-6.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,757.0,облачно,снег,-6.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,756.0,пасмурно,снег,-6.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,756.0
2011-01-10,2.3,пасмурно,снег,-6.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,756.0,пасмурно,слабый снег,-6.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,755.0,пасмурно,слабый снег,-6.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,755.0,пасмурно,слабый снег,-7.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,754.0,пасмурно,слабый снег,-6.0,З,1.0,-1.8369701987210297e-16,-1.0,754.0,пасмурно,слабый снег,-6.0,СЗ,1.0,0.7071067811865474,-0.7071067811865477,754.0,пасмурно,слабый снег,-6.0,З,1.0,-1.8369701987210297e-16,-1.0,755.0,пасмурно,слабый снег,-7.0,З,1.0,-1.8369701987210297e-16,-1.0,756.0,пасмурно,слабый снег,-8.0,З,1.0,-1.8369701987210297e-16,-1.0,756.0
2011-01-11,2.2,пасмурно,слабый снег,-8.0,З,1.0,-1.8369701987210297e-16,-1.0,756.0,пасмурно,слабый снег,-8.0,З,1.0,-1.8369701987210297e-16,-1.0,756.0,пасмурно,слабый снег,-8.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,756.0,пасмурно,слабый снег,-7.0,ЗЮЗ,1.0,-0.38268343236509034,-0.9238795325112865,756.0,облачно,слабый снег,-6.0,З,1.0,-1.8369701987210297e-16,-1.0,756.0,малооблачно,слабый снег,-5.0,З,1.0,-1.8369701987210297e-16,-1.0,756.0,малооблачно,слабый снег,-6.0,СВ,3.0,2.121320343559643,2.121320343559643,757.0,пасмурно,слабый снег,-6.0,СВ,7.0,4.949747468305833,4.949747468305833,757.0,облачно,слабый снег,-7.0,СВ,6.0,4.242640687119286,4.242640687119286,757.0
2011-01-12,2.1,облачно,слабый снег,-7.0,СВ,6.0,4.242640687119286,4.242640687119286,757.0,облачно,слабый снег,-8.0,СВ,6.0,4.242640687119286,4.242640687119286,758.0,облачно,слабый снег,-8.0,СВ,6.0,4.242640687119286,4.242640687119286,757.0,облачно,слабый снег,-9.0,СВ,6.0,4.242640687119286,4.242640687119286,757.0,пасмурно,слабый снег,-9.0,СВ,6.0,4.242640687119286,4.242640687119286,758.0,пасмурно,слабый снег,-9.0,СВ,5.0,3.5355339059327378,3.5355339059327378,758.0,пасмурно,слабый снег,-9.0,СВ,5.0,3.5355339059327378,3.5355339059327378,758.0,пасмурно,снег,-9.0,СВ,5.0,3.5355339059327378,3.5355339059327378,758.0,пасмурно,снег,-9.0,СВ,4.0,2.8284271247461903,2.8284271247461903,759.0
2011-01-13,2.1,пасмурно,снег,-9.0,СВ,4.0,2.8284271247461903,2.8284271247461903,759.0,пасмурно,снег,-9.0,СВ,4.0,2.8284271247461903,2.8284271247461903,759.0,пасмурно,снег,-8.0,СВ,4.0,2.8284271247461903,2.8284271247461903,759.0,пасмурно,снег,-7.0,СВ,3.0,2.121320343559643,2.121320343559643,758.0,пасмурно,снег,-7.0,СВ,3.0,2.121320343559643,2.121320343559643,757.0,пасмурно,снег,-6.0,СВ,2.0,1.4142135623730951,1.4142135623730951,757.0,пасмурно,снег,-6.0,СВ,1.0,0.7071067811865476,0.7071067811865476,756.0,пасмурно,снег,-7.0,С,1.0,1.0,0.0,756.0,пасмурно,снег,-6.0,СЗ,1.0,0.7071067811865474,-0.7071067811865477,756.0
2011-01-14,2.1,пасмурно,снег,-6.0,СЗ,1.0,0.7071067811865474,-0.7071067811865477,756.0,пасмурно,снег,-6.0,З,2.0,-3.6739403974420594e-16,-2.0,755.0,пасмурно,снег,-6.0,ЮЗ,2.0,-1.4142135623730954,-1.414213562373095,756.0,пасмурно,слабый снег,-6.0,ЮЮЗ,2.0,-1.8477590650225737,-0.7653668647301793,756.0,пасмурно,слабый снег,-6.0,Ю,3.0,-3.0,3.6739403974420594e-16,756.0,пасмурно,слабый снег,-6.0,Ю,3.0,-3.0,3.6739403974420594e-16,755.0,пасмурно,слабый снег,-6.0,ЮЮВ,3.0,-2.77163859753386,1.1480502970952697,754.0,пасмурно,снег,-7.0,ВЮВ,3.0,-1.1480502970952693,2.77163859753386,753.0,пасмурно,снег,-7.0,В,2.0,1.2246467991473532e-16,2.0,752.0
2011-01-15,2.1,пасмурно,снег,-7.0,В,2.0,1.2246467991473532e-16,2.0,752.0,пасмурно,снег,-7.0,ВСВ,2.0,0.7653668647301797,1.8477590650225735,750.0,пасмурно,снег,-7.0,СВ,3.0,2.121320343559643,2.121320343559643,749.0,пасмурно,снег,-7.0,ССВ,3.0,2.77163859753386,1.1480502970952693,749.0,пасмурно,снег,-7.0,ССВ,4.0,3.695518130045147,1.5307337294603591,748.0,пасмурно,снег,-7.0,С,5.0,5.0,0.0,747.0,пасмурно,снег,-7.0,С,6.0,6.0,0.0,746.0,пасмурно,снег,-8.0,С,7.0,7.0,0.0,746.0,пасмурно,снег,-9.0,ССЗ,8.0,7.391036260090292,-3.061467458920723,746.0
2011-01-16,2.1,пасмурно,снег,-9.0,ССЗ,8.0,7.391036260090292,-3.061467458920723,746.0,пасмурно,снег,-11.0,ССЗ,8.0,7.391036260090292,-3.061467458920723,746.0,пасмурно,снег,-11.0,ССЗ,8.0,7.391036260090292,-3.061467458920723,746.0,пасмурно,снег,-11.0,ССЗ,8.0,7.391036260090292,-3.061467458920723,747.0,пасмурно,снег,-11.0,ССЗ,8.0,7.391036260090292,-3.061467458920723,747.0,пасмурно,снег,-11.0,ССЗ,7.0,6.467156727579006,-2.6787840265556326,748.0,пасмурно,снег,-10.0,ССЗ,7.0,6.467156727579006,-2.6787840265556326,749.0,пасмурно,снег,-10.0,ССЗ,7.0,6.467156727579006,-2.6787840265556326,750.0,пасмурно,снег,-10.0,ССЗ,7.0,6.467156727579006,-2.6787840265556326,751.0
2011-01-17,2.5,пасмурно,снег,-10.0,ССЗ,7.0,6.467156727579006,-2.6787840265556326,751.0,пасмурно,снег,-10.0,ССЗ,7.0,6.467156727579006,-2.6787840265556326,751.0,пасмурно,снег,-10.0,ССЗ,7.0,6.467156727579006,-2.6787840265556326,752.0,пасмурно,снег,-9.0,С,7.0,7.0,0.0,753.0,пасмурно,снег,-8.0,С,7.0,7.0,0.0,754.0,пасмурно,снег,-7.0,С,7.0,7.0,0.0,755.0,пасмурно,снег,-6.0,С,7.0,7.0,0.0,756.0,пасмурно,снег,-4.0,ССЗ,6.0,5.543277195067719,-2.296100594190542,756.0,пасмурно,снег,-4.0,ССЗ,6.0,5.543277195067719,-2.296100594190542,757.0
2011-01-18,2.3,пасмурно,снег,-4.0,ССЗ,6.0,5.543277195067719,-2.296100594190542,757.0,пасмурно,слабый снег,-3.0,ССЗ,6.0,5.543277195067719,-2.296100594190542,758.0,пасмурно,слабый снег,-4.0,ССЗ,5.0,4.619397662556432,-1.913417161825452,758.0,пасмурно,слабый снег,-4.0,ССЗ,5.0,4.619397662556432,-1.913417161825452,759.0,пасмурно,слабый снег,-5.0,ССЗ,4.0,3.695518130045146,-1.5307337294603616,759.0,пасмурно,слабый снег,-5.0,ССЗ,3.0,2.7716385975338595,-1.148050297095271,758.0,облачно,слабый снег,-6.0,СЗ,3.0,2.121320343559642,-2.121320343559643,758.0,малооблачно,снег,-7.0,СЗ,3.0,2.121320343559642,-2.121320343559643,758.0,малооблачно,снег,-8.0,СЗ,3.0,2.121320343559642,-2.121320343559643,758.0
2011-01-19,2.2,малооблачно,снег,-8.0,СЗ,3.0,2.121320343559642,-2.121320343559643,758.0,малооблачно,слабый снег,-8.0,СЗ,3.0,2.121320343559642,-2.121320343559643,758.0,малооблачно,слабый снег,-9.0,ССЗ,3.0,2.7716385975338595,-1.148050297095271,758.0,малооблачно,слабый снег,-9.0,ССЗ,3.0,2.7716385975338595,-1.148050297095271,759.0,малооблачно,слабый снег,-9.0,СЗ,3.0,2.121320343559642,-2.121320343559643,759.0,малооблачно,без осадков,-9.0,СЗ,3.0,2.121320343559642,-2.121320343559643,760.0,малооблачно,без осадков,-9.0,СЗ,3.0,2.121320343559642,-2.121320343559643,761.0,облачно,без осадков,-9.0,ЗСЗ,3.0,1.14805029709527,-2.77163859753386,761.0,облачно,без осадков,-8.0,ЗСЗ,3.0,1.14805029709527,-2.77163859753386,762.0
2011-01-20,2.0,облачно,без осадков,-8.0,ЗСЗ,3.0,1.14805029709527,-2.77163859753386,762.0,облачно,слабый снег,-7.0,ЗСЗ,4.0,1.53073372946036,-3.6955181300451465,762.0,облачно,слабый снег,-6.0,ЗСЗ,4.0,1.53073372946036,-3.6955181300451465,762.0,пасмурно,слабый снег,-6.0,СЗ,3.0,2.121320343559642,-2.121320343559643,762.0,пасмурно,слабый снег,-5.0,СЗ,3.0,2.121320343559642,-2.121320343559643,763.0,пасмурно,слабый снег,-5.0,ССЗ,3.0,2.7716385975338595,-1.148050297095271,764.0,пасмурно,слабый снег,-5.0,ССЗ,3.0,2.7716385975338595,-1.148050297095271,765.0,пасмурно,без осадков,-5.0,С,3.0,3.0,0.0,766.0,облачно,без осадков,-5.0,С,2.0,2.0,0.0,767.0
2011-01-21,2.1,облачно,без осадков,-5.0,С,2.0,2.0,0.0,767.0,облачно,без осадков,-6.0,С,2.0,2.0,0.0,768.0,облачно,без осадков,-9.0,СЗ,1.0,0.7071067811865474,-0.7071067811865477,769.0,малооблачно,без осадков,-11.0,З,1.0,-1.8369701987210297e-16,-1.0,770.0,облачно,без осадков,-9.0,ЗЮЗ,2.0,-0.7653668647301807,-1.847759065022573,770.0,облачно,без осадков,-5.0,ЗЮЗ,4.0,-1.5307337294603613,-3.695518130045146,770.0,пасмурно,без осадков,-5.0,ЗЮЗ,4.0,-1.5307337294603613,-3.695518130045146,770.0,пасмурно,без осадков,-3.0,ЗЮЗ,5.0,-1.9134171618254516,-4.619397662556432,770.0,пасмурно,без осадков,-2.0,З,5.0,-9.184850993605148e-16,-5.0,769.0
2011-01-22,2.0,пасмурно,без осадков,-2.0,З,5.0,-9.184850993605148e-16,-5.0,769.0,пасмурно,слабый снег,-1.0,З,5.0,-9.184850993605148e-16,-5.0,769.0,пасмурно,слабый снег,-1.0,ЗСЗ,5.0,1.91341716182545,-4.619397662556433,768.0,облачно,без осадков,-1.0,ЗСЗ,5.0,1.91341716182545,-4.619397662556433,768.0,малооблачно,без осадков,-1.0,ЗСЗ,5.0,1.91341716182545,-4.619397662556433,768.0,малооблачно,без осадков,-1.0,СЗ,5.0,3.535533905932737,-3.5355339059327386,768.0,ясно,без осадков,-1.0,СЗ,5.0,3.535533905932737,-3.5355339059327386,769.0,ясно,без осадков,-1.0,СЗ,4.0,2.8284271247461894,-2.8284271247461907,769.0,ясно,без осадков,-2.0,ЗСЗ,4.0,1.53073372946036,-3.6955181300451465,769.0
